Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,1.239570,1.280090,1.230200,1.243520,1.243520,0
2021-08-01,1.243520,1.294760,1.243520,1.260890,1.260890,0
2021-09-01,1.261430,1.289200,1.249830,1.275380,1.275380,0
2021-10-01,1.268410,1.273660,1.228880,1.238600,1.238600,0
2021-11-01,1.237950,1.282800,1.235230,1.273800,1.273800,0
2021-12-01,1.277210,1.296320,1.260820,1.274440,1.274440,0
2022-01-01,1.263930,1.281330,1.245200,1.275910,1.275910,0
2022-02-01,1.271920,1.287660,1.263590,1.275520,1.275520,0
2022-03-01,1.266500,1.289880,1.243130,1.248230,1.248230,0
2022-04-01,1.249850,1.287880,1.240100,1.274640,1.274640,0
2022-05-01,1.274640,1.305860,1.263010,1.265520,1.265520,0
2022-06-01,1.263900,1.307790,1.251860,1.288330,1.288330,0
2022-07-01,1.287370,1.322150,1.277770,1.277770,1.277770,0
2022-08-01,1.281560,1.313830,1.272810,1.308950,1.308950,0
2022-09-01,1.314120,1.383120,1.295390,1.367450,1.367450,0
2022-10-01,1.375600,1.396990,1.349670,1.360810,1.360810,0
2022-11-01,1.361070,1.380620,1.132130,1.358360,1.358360,0
2022-12-01,1.341200,1.374200,1.338470,1.356600,1.356600,0
2023-01-01,1.356700,1.367940,1.329970,1.338380,1.338380,0
2023-02-01,1.330600,1.366260,1.326240,1.357400,1.357400,0
2023-03-01,1.364520,1.386050,1.350780,1.352190,1.352190,0
2023-04-01,1.352400,1.367500,1.330620,1.365000,1.365000,0
2023-05-01,1.355910,1.365400,1.331580,1.359970,1.359970,0
2023-06-01,1.356600,1.358450,1.311640,1.325000,1.325000,0
2023-07-01,1.307680,1.338560,1.307680,1.325100,1.325100,0
2023-08-01,1.319200,1.363920,1.318590,1.353530,1.353530,0
2023-09-01,1.350970,1.368820,1.338760,1.358800,1.358800,0
2023-10-01,1.358800,1.388410,1.356200,1.382860,1.382860,0
2023-11-01,1.387660,1.389150,1.354170,1.359020,1.359020,0
2023-12-01,1.355650,1.361770,1.317460,1.326100,1.326100,0
2024-01-01,1.323920,1.354040,1.322860,1.340170,1.340170,0
2024-02-01,1.343550,1.360450,1.336400,1.357750,1.357750,0
2024-03-01,1.357370,1.361320,1.342270,1.353900,1.353900,0
2024-04-01,1.352190,1.384550,1.347800,1.366670,1.366670,0
2024-05-01,1.377700,1.378220,1.353200,1.368330,1.368330,0
2024-06-01,1.365100,1.378980,1.360290,1.369200,1.369200,0
2024-07-01,1.367270,1.386420,1.358910,1.384960,1.384960,0
